1608418125.03	2000	1.000000	0.000	28717	25	0
1608418127.00	20000	1.000000	0.977	11007815	1977	-29.2637274505
1608418128.84	16000	1.000000	0.840	9061343	1840	-14.8705047273
1608418129.53	16000	1.314351	0.000	2846282	686	16
1608418129.87	16000	1.969744	0.000	1379579	345	16
1608418130.21	16000	2.633461	0.000	1083781	336	16
1608418130.41	16000	3.435643	0.000	533454	198	16
1608418130.60	16000	4.246039	0.000	508812	190	16
1608418131.29	16000	4.547289	0.000	2514829	699	16
1608418131.72	16000	5.124872	0.000	1861181	422	16
1608418132.68	16000	5.160240	0.000	2835412	965	16
1608418134.50	16000	4.345141	0.000	4074608	1815	16
1608418135.87	16000	3.966840	0.000	3844696	1378	16
1608418140.27	16000	1.000000	0.429	1630440	4396	2.25710933333
1608418141.67	16000	1.000000	0.403	1712120	1403	3.0929432381
1608418142.41	16000	1.264550	0.000	1662097	735	16
1608418142.52	16000	2.156161	0.000	243072	108	16
1608418142.83	16000	2.847512	0.000	793783	309	16
1608418143.06	16000	3.615282	0.000	531720	232	16
1608418145.36	16000	2.319488	0.000	5045162	2296	16
1608418148.34	16000	1.000000	0.670	3858422	2989	-5.42640344862
1608418148.74	16000	1.599214	0.000	2713103	401	16
1608418149.62	16000	1.723788	0.000	3070467	875	16
1608418151.03	16000	1.318828	0.000	3391518	1405	16
1608418151.79	16000	1.552840	0.000	2424462	766	16
1608418152.28	16000	2.065344	0.000	1798203	487	16
1608418154.09	16000	1.257753	0.000	8032438	1808	16
1608418157.40	16000	1.000000	2.053	9808342	3311	-49.6953018635
1608418157.64	16000	1.759052	0.000	1491397	241	16
1608418157.89	16000	2.507877	0.000	1560434	251	16
1608418158.12	16000	3.274122	0.000	1396705	234	16
1608418158.36	16000	4.035618	0.000	1392963	239	16
1608418158.58	16000	4.815359	0.000	1276651	220	16
1608418158.81	16000	5.589157	0.000	1314540	226	16
1608418159.06	16000	6.339327	0.000	1407326	250	16
1608418159.30	16000	7.096767	0.000	1196263	243	16
1608418159.62	16000	7.773964	0.000	1627563	323	16
1608418159.83	16000	8.570215	0.000	987649	204	16
