#{"t_start": 1772874617.7311068, "env_id": "None"}
r,l,t
2.252721,47,25.366352
-183.2126,47,25.411234
-10.614917,47,25.457462
-130.82609,47,25.501778
-113.185146,47,25.543822
4.700001,47,25.585465
-33.541155,47,25.627757
-95.439011,47,25.669588
-98.613398,47,25.712746
-99.366993,47,25.754704
9.150001,47,25.8012
-83.161286,47,25.846176
-87.92193,47,25.892848
-19.293432,47,25.939244
3.700001,47,25.979799
5.711083,47,26.022377
-56.512265,47,27.547351
5.200002,47,27.588585
12.250002,47,27.629951
12.900001,47,27.675864
6.250001,47,27.724605
-6.471429,47,27.766408
11.300002,47,27.809047
4.950001,47,27.850399
14.150001,47,27.891135
-17.022855,47,27.937261
14.150001,47,27.995614
5.550002,47,28.045457
3.100001,47,28.090384
5.350001,47,28.132368
-6.254146,47,28.189229
5.62174,47,28.245356
-184.554505,47,28.302553
-0.083984,47,28.354295
-107.89783,47,28.405844
8.350001,47,28.457854
10.250001,47,28.510105
6.100001,47,28.559181
-5.823056,47,28.609391
12.200002,47,28.658185
4.350002,47,28.707472
-13.191802,47,28.765852
5.388917,47,28.826951
6.650001,47,28.885806
4.750001,47,28.945588
5.250002,47,29.010783
-98.916062,47,29.077122
6.388224,47,29.142258
-41.52208,47,29.201274
4.263375,47,29.259437
5.950001,47,29.317971
14.600001,47,29.378765
-107.060413,47,29.444103
11.300001,47,29.502282
-2.349999,47,29.560613
-26.69643,47,29.618641
-47.346861,47,29.666929
-103.872875,47,29.715296
6.300001,47,29.763395
2.457865,47,29.811922
2.000001,47,31.733535
9.100001,47,31.782732
3.026944,47,31.835649
-7.673175,47,31.887758
-1.062765,47,31.949297
5.550001,47,32.002859
-27.99643,47,32.055429
5.100001,47,32.105958
10.250001,47,32.156463
-2.849998,47,32.217083
-30.619883,47,32.272842
-23.857158,47,32.337596
-1.737123,47,32.398544
-11.887139,47,32.45827
3.150001,47,32.513612
0.700001,47,32.567044
12.900001,47,32.620997
11.300001,47,32.675463
3.800001,47,32.717144
-3.099998,47,32.758718
5.500001,47,32.802202
1.474113,47,32.843787
0.914479,47,32.884656
-23.709759,47,32.926563
10.800001,47,32.968655
7.650001,47,33.010261
