1608418125.03	2000	1.000000	0.000	28717	25	0
1608418127.00	20000	1.000000	0.977	11007815	1977	-29.2637274505
1608418128.79	20000	1.000000	0.791	8849724	1791	-5.3226628987
1608418129.56	20000	1.234635	0.000	3191121	765	20
1608418129.97	20000	1.823643	0.000	1661718	411	20
1608418130.42	20000	2.369557	0.000	1315024	454	20
1608418130.68	20000	3.116771	0.000	698359	253	20
1608418130.94	20000	3.853410	0.000	730082	263	20
1608418131.85	20000	3.944246	0.000	4047415	909	20
1608418132.95	20000	3.842670	0.000	2863079	1102	20
1608418134.76	20000	3.030376	0.000	4167844	1812	20
1608418141.13	20000	1.000000	3.335	5571764	6366	-86.7274898286
1608418143.37	20000	1.000000	1.237	4925652	2237	-19.5873109333
1608418144.31	20000	1.060212	0.000	2030157	940	20
1608418145.24	20000	1.124365	0.000	2240782	936	20
1608418148.09	20000	1.000000	1.727	2211169	2852	-35.2727749614
1608418148.17	20000	1.926380	0.000	382046	74	20
1608418148.34	20000	2.750033	0.000	1113969	176	20
1608418148.48	20000	3.614927	0.000	820127	135	20
1608418150.21	20000	2.880243	0.000	6357933	1735	20
1608418151.89	20000	2.201878	0.000	4814284	1678	20
1608418152.74	20000	2.356444	0.000	3419258	845	20
1608418153.61	20000	2.480438	0.000	3944328	876	20
1608418154.73	20000	2.367595	0.000	4284196	1113	20
1608418156.45	20000	1.646793	0.000	3022025	1721	20
1608418157.07	20000	2.026794	0.000	2248581	620	20
1608418158.59	20000	1.500331	0.000	9946363	1526	20
1608418160.83	20000	1.000000	0.737	11684632	2238	-3.59590891607
1608418161.29	20000	1.540940	0.000	1849732	459	20
1608418161.80	20000	2.035241	0.000	1942795	506	20
1608418162.26	20000	2.572961	0.000	1704756	462	20
1608418162.73	20000	3.100398	0.000	1697111	473	20
1608418163.95	20000	2.883215	0.000	1529441	1217	20
1608418164.36	20000	3.466144	0.000	1568649	417	20
1608418164.78	20000	4.051410	0.000	1677618	415	20
1608418165.12	20000	4.705778	0.000	1415096	346	20
1608418165.57	20000	5.264874	0.000	1894067	441	20
